Customer Service,2000-2010,F,65948.54218789162
Customer Service,2000-2010,M,65677.63553168961
Development,2000-2010,F,66379.85540658103
Development,2000-2010,M,66539.75694695285
Finance,2000-2010,F,77532.48873494161
Finance,2000-2010,M,77449.00643060476
Human Resources,2000-2010,F,62770.57147147147
Human Resources,2000-2010,M,62566.11676052668
Marketing,2000-2010,F,78407.27841747859
Marketing,2000-2010,M,78968.8777298675
Production,2000-2010,F,66550.287863479
Production,2000-2010,M,66710.4275389693
Quality Management,2000-2010,F,64316.669971479016
Quality Management,2000-2010,M,64144.63925257637
Research,2000-2010,F,66733.81675459065
Research,2000-2010,M,66672.23952711819
Sales,2000-2010,F,87557.46650894119
Sales,2000-2010,M,87692.66398962676
