Customer Service,1990-2000,F,57314.46246675171
Customer Service,1990-2000,M,57313.99844889803
Development,1990-2000,F,58015.68543837571
Development,1990-2000,M,58167.587443979115
Finance,1990-2000,F,69341.41335859837
Finance,1990-2000,M,69184.45426548038
Human Resources,1990-2000,F,54407.032321944665
Human Resources,1990-2000,M,54202.01928476867
Marketing,1990-2000,F,70293.8688705716
Marketing,1990-2000,M,70593.012722591
Production,1990-2000,F,58191.33315357757
Production,1990-2000,M,58342.38106271283
Quality Management,1990-2000,F,55918.63047838269
Quality Management,1990-2000,M,55857.84892353138
Research,1990-2000,F,58128.604484040545
Research,1990-2000,M,58034.844529130314
Sales,1990-2000,F,79136.64712078431
Sales,1990-2000,M,79316.94174374126
